,SalePrice
2605,170000
739,100000
2296,138000
681,139000
2727,225000
221,154000
1698,250000
750,155000
2468,176000
236,144500
499,265000
1656,170000
1494,147000
2087,96000
689,127000
1684,356000
116,171000
1906,144000
156,129000
2451,321000
2088,120000
2024,90000
1728,176000
20,190000
2924,131000
723,124900
1159,196000
892,145500
1990,145000
349,375000
2478,175900
982,165500
2644,111500
2327,239000
2459,199000
807,118964
1482,141000
1806,146000
1767,755000
2116,240000
2868,217500
2417,258000
2519,188000
926,144800
2411,170440
507,275000
709,37900
1318,122000
625,256000
1281,167900
2098,250000
1161,178000
1925,116000
2151,228000
1723,277500
881,190000
964,213500
2913,73000
1544,126000
663,105000
194,134000
924,154900
2597,108480
2017,137500
899,119900
2105,155835
2492,133500
1736,181134
1460,274000
816,269500
1846,177000
1181,162500
2109,212999
500,315000
1077,155000
1129,230348
1483,149000
1682,142500
164,134800
366,501837
472,180000
1020,235000
1248,180000
2174,133500
1175,170000
1593,124000
999,286000
2203,189950
2450,584500
1189,215000
1984,85000
2386,325300
1664,184000
1320,325000
438,335000
1943,135000
480,192000
672,153000
550,162000
2615,183000
451,213000
81,171000
598,161500
2571,135000
258,200500
1641,441929
151,119000
1456,230500
29,96000
918,234000
306,55993
172,115000
117,142250
2403,185850
565,280750
1636,349265
789,121500
508,257500
1793,208900
97,149500
429,404000
1172,160000
405,97000
1648,192000
2101,200141
1812,179000
2462,232600
142,145000
1875,143000
456,552000
1531,149000
2158,219500
1901,39300
752,104000
906,159434
653,132000
900,103500
391,158000
875,178000
2847,137000
822,239900
105,254000
2782,157500
970,115000
1760,745000
1357,161000
2187,79000
905,160000
855,150500
284,144500
2686,220000
1367,79900
682,118900
416,138000
431,451950
447,386250
251,198900
1691,492000
785,190000
2867,230000
2504,176400
340,231000
1048,148500
938,222000
1722,280000
1744,185485
2666,475000
2363,190000
1228,201800
47,320000
1517,179500
1225,141500
1279,109500
144,142000
2604,160000
1490,135000
1831,147000
1519,168000
1170,305000
1473,208500
650,95000
2886,145000
351,240000
5,195500
721,143000
1329,79500
2735,274970
80,152000
1622,180000
2577,148000
2660,155000
2157,246900
1751,165500
2132,226000
2129,217000
2375,123000
754,149000
1887,140500
1233,227000
26,126000
